place,state,latitude,longitude,cafes_per_100km2,cafe_count_proxy,analysis_area_km2,dot_represents
Northbridge,WA,-31.9430,115.8566,1400,1400,100,1 dot ≈ 1400 cafés per 100 km²
Leederville,WA,-31.9337,115.8424,1100,1100,100,1 dot ≈ 1100 cafés per 100 km²
Subiaco,WA,-31.9483,115.8268,950,950,100,1 dot ≈ 950 cafés per 100 km²
Fremantle,WA,-32.0569,115.7439,820,820,100,1 dot ≈ 820 cafés per 100 km²
Mount Lawley,WA,-31.9262,115.8690,700,700,100,1 dot ≈ 700 cafés per 100 km²
Victoria Park,WA,-31.9742,115.8960,580,580,100,1 dot ≈ 580 cafés per 100 km²
Cottesloe,WA,-31.9946,115.7511,480,480,100,1 dot ≈ 480 cafés per 100 km²
Adelaide CBD,SA,-34.9285,138.6007,1350,1350,100,1 dot ≈ 1350 cafés per 100 km²
Norwood,SA,-34.9196,138.6349,1000,1000,100,1 dot ≈ 1000 cafés per 100 km²
Unley,SA,-34.9467,138.5922,850,850,100,1 dot ≈ 850 cafés per 100 km²
Glenelg,SA,-34.9828,138.5155,650,650,100,1 dot ≈ 650 cafés per 100 km²
North Adelaide,SA,-34.9094,138.5973,720,720,100,1 dot ≈ 720 cafés per 100 km²
Hobart CBD,TAS,-42.8821,147.3272,980,980,100,1 dot ≈ 980 cafés per 100 km²
Battery Point,TAS,-42.8894,147.3330,820,820,100,1 dot ≈ 820 cafés per 100 km²
North Hobart,TAS,-42.8726,147.3196,680,680,100,1 dot ≈ 680 cafés per 100 km²
Salamanca,TAS,-42.8887,147.3306,750,750,100,1 dot ≈ 750 cafés per 100 km²
Canberra CBD,ACT,-35.2809,149.1300,1100,1100,100,1 dot ≈ 1100 cafés per 100 km²
Braddon,ACT,-35.2722,149.1354,950,950,100,1 dot ≈ 950 cafés per 100 km²
Kingston,ACT,-35.3131,149.1448,780,780,100,1 dot ≈ 780 cafés per 100 km²
Manuka,ACT,-35.3183,149.1327,680,680,100,1 dot ≈ 680 cafés per 100 km²
Darwin CBD,NT,-12.4634,130.8456,750,750,100,1 dot ≈ 750 cafés per 100 km²
Parap,NT,-12.4224,130.8478,520,520,100,1 dot ≈ 520 cafés per 100 km²
